Whisky	Meta Critic	STDEV	#	Super Cluster	Cluster
Balvenie 14yo Carribean Cask	8.51	0.42	12	EF	F
Dalmore 12yo	8.51	0.24	14	EF	E
GlenDronach 8yo The Hielan	8.47	0.39	7	EF	E
Bruichladdich Black Art 4 1990	8.45	0.61	4	EF	E
Glengoyne 17yo	8.45	0.21	10	EF	E
Old Pulteney 12yo	8.44	0.3	21	EF	E
Auchentoshan 18yo	8.43	0.3	10	EF	E
Glen Elgin 12yo	8.43	0.25	11	EF	E
Old Pulteney Navigator	8.42	0.31	7	EF	E
Tullibardine 225 Sauternes Finish	8.41	0.47	4	EF	E
Glenlivet 15yo French Oak	8.39	0.27	15	EF	F
Royal Brackla 12yo	8.37	0.56	6	EF	E
Macallan 1824 Amber	8.35	0.39	11	EF	E
Cragganmore 12yo	8.33	0.39	13	EF	E
Glen Ord Singleton of Glen Ord 12yo	8.33	0.13	3	EF	E
Tomatin 15yo	8.33	0.14	5	EF	E
Auchentoshan 12yo	8.32	0.27	19	EF	E
Glenrothes Vintage 1998 (2014)	8.32	0.64	9	EF	F
Craigellachie 14yo	8.31	0.29	5	EF	F
Wemyss Malts Smooth Gentleman	8.3	0.09	3	EF	E
Monkey Shoulder	8.28	0.42	13	EF	E
Tomintoul 12yo Oloroso Sherry	8.28	0.6	9	EF	E
Scapa 16yo	8.27	0.29	12	EF	E
Strathisla 12yo	8.27	0.28	11	EF	E
Edradour 10yo	8.26	0.43	10	EF	E
Tullibardine 1993 Sauternes	8.25	0.37	4	EF	E
Macallan 10yo Fine Oak	8.23	0.33	14	EF	E
Tobermory 10yo	8.21	0.46	17	EF	F
Aberfeldy 12yo	8.17	0.29	13	EF	E
Arran Robert Burns Single Malt	8.17	0.63	6	EF	F
Teaninich 10yo (F&F)	8.13	0.18	3	EF	F
Auchroisk 10yo (F&F)	8.11	0.14	4	EF	E
Miltonduff 10yo (F&F)	8.07	0.48	4	EF	E
Deanston 12yo	8.06	0.47	12	EF	F
Glenlivet 12yo	8.04	0.32	18	EF	E
Dalmore Valour	8.03	0.38	7	EF	E
Glendullan Singleton of Glendullan 12yo	8.03	0.49	11	EF	E
Dufftown Singleton of Dufftown 12yo	8	0.61	8	EF	E
Deveron 12yo (Macduff)	7.98	0.85	3	EF	E
Glenburgie 10yo (Gordon & MacPhail)	7.96	0.45	7	EF	F
Glen Deveron 10yo (Macduff)	7.94	0.42	5	EF	E
Glenlivet Founder's Reserve	7.94	0.47	9	EF	E
Glenrothes Select Reserve	7.93	0.33	11	EF	E
Tomatin 12yo	7.83	0.65	14	EF	E
Speyside 10yo	7.65	0.71	4	EF	E
Scapa Skiren	7.63	0.11	3	EF	E
Balvenie 15yo Single Barrel (Cask)	8.88	0.27	17	GH	G
Glencadam 21yo	8.88	0.28	8	GH	H
Glenmorangie Tusail	8.88	0.35	7	GH	G
Mackinlay 'Shackleton' Rare Old Highland Malt Whisky	8.88	0.33	14	GH	H
Glenfiddich 26yo Excellence	8.74	0.51	6	GH	G
Arran Malt 14yo	8.72	0.29	17	GH	G
Dalwhinnie 15yo	8.71	0.38	15	GH	H
Inchgower 14yo (F&F)	8.7	0.49	7	GH	H
Tullibardine 20yo	8.68	0.32	4	GH	G
AnCnoc 12yo	8.67	0.38	15	GH	H
AnCnoc 16yo	8.66	0.37	10	GH	G
Old Pulteney 21yo	8.66	0.65	11	GH	H
Linkwood 12yo (F&F)	8.61	0.37	6	GH	H
BenRiach 10yo	8.6	0.12	4	GH	G
Arran Malt 10yo	8.58	0.35	18	GH	G
GlenDronach 14yo Virgin Oak	8.52	0.35	10	GH	G
Tomatin Cu Bocan Virgin Oak Edition	8.52	0.49	3	GH	H
Glenmorangie 10yo Original	8.49	0.49	21	GH	G
Macallan 12yo Fine Oak	8.48	0.41	13	GH	G
AnCnoc Peter Arkle (all releases)	8.47	0.33	6	GH	G
Craigellachie 13yo	8.46	0.36	10	GH	G
Glencadam 10yo	8.45	0.52	9	GH	H
Talisker Skye	8.45	0.3	8	GH	G
Bruichladdich Laddie Classic	8.44	0.61	6	GH	G
Glen Grant 10yo	8.43	0.51	5	GH	H
Tomintoul 16yo	8.43	0.48	12	GH	G
Glengyle Work in Progress Kilkerran	8.42	0.12	3	GH	G
Hazelburn 8yo (Springbank)	8.42	0.37	11	GH	G
Glenfiddich 1963 Original Malt	8.41	0.54	3	GH	G
Wemyss Malts The Hive	8.41	0.21	11	GH	G
BenRiach 12yo	8.4	0.3	12	GH	G
Balblair 2000	8.38	0.33	9	GH	H
Glenkinchie Distiller's Edition (all editions)	8.38	0.3	11	GH	B
Aultmore 12yo	8.37	0.17	5	GH	H
Strathmill 12yo	8.36	0.3	3	GH	G
Highland Park Svein	8.33	0.16	9	GH	G
Glen Garioch Founder's Reserve	8.32	0.44	13	GH	G
Macallan 1824 Gold	8.3	0.3	14	GH	G
Tullibardine Vintage 1993	8.3	0.5	8	GH	G
Cardhu Amber Rock	8.28	0.28	4	GH	H
Glenkinchie 12yo	8.27	0.19	11	GH	G
Mannochmore 12yo (F&F)	8.26	0.13	4	GH	G
Tomatin Legacy	8.26	0.48	8	GH	G
BenRiach 20yo	8.24	0.77	9	GH	G
Glengoyne 10yo	8.23	0.36	11	GH	G
Auchentoshan Virgin Oak	8.22	0.59	7	GH	H
Deanston Virgin Oak	8.22	0.49	9	GH	H
Tamdhu 10yo	8.21	0.73	11	GH	H
Auchentoshan Valinch	8.19	0.74	9	GH	H
Glenturret 10yo	8.17	0.51	10	GH	G
Tullibardine Aged Oak Edition	8.17	0.46	7	GH	G
Glenlossie 10yo (F&F)	8.16	0.34	8	GH	G
Cardhu 12yo	8.12	0.49	17	GH	H
Tomatin Cu Bocan	8.09	0.33	10	GH	H
Glenfiddich 12yo	8.08	0.26	21	GH	G
Tormore 14yo	8.05	0.28	4	GH	G
Speyburn 10yo	8.01	0.33	16	GH	H
Glen Spey 12yo (F&F)	8	0.56	4	GH	H
Glen Moray Classic	7.96	0.24	5	GH	G
Auchentoshan Classic	7.92	0.39	7	GH	H
Knockando 12yo (All Vintages)	7.92	0.43	12	GH	G
Tomintoul 10yo	7.87	0.3	12	GH	G
Tormore 12yo	7.83	0.4	9	GH	G
Auchentoshan 10yo	7.82	0.33	9	GH	H
Speyside 12yo	7.82	0.65	9	GH	H
Glen Moray 12yo	7.79	0.52	11	GH	G
Tamnavulin 12yo	7.62	0.93	4	GH	H
Auchentoshan American Oak	7.5	0.93	6	GH	H
Loch Lomond	7.3	0.46	7	GH	H
Caol Ila 30yo	9.34	0.25	8	I	I
Talisker 18yo	9.25	0.21	14	I	I
Highland Park Sigurd	9.09	0.32	7	I	I
Compass Box The Lost Blend	9.03	0.27	9	I	I
Bruichladdich Port Charlotte PC10 Tro Na Linntean	9.01	0.54	6	I	I
Elements of Islay Peat	9.01	0.26	3	I	I
Talisker 57 North	9.01	0.25	13	I	I
Springbank 18yo	8.97	0.2	14	I	I
Glen Garioch 1995	8.96	0.43	6	I	I
Talisker 25yo	8.95	0.26	13	I	I
Tomatin Cu Bocan 1989 Limited Edition	8.95	0.33	3	I	I
Compass Box Flaming Heart	8.94	0.39	16	I	I
Talisker 10yo	8.92	0.22	19	I	I
Talisker Distiller's Edition (all editions)	8.92	0.29	15	I	I
Wemyss Malts The Rockpool	8.92	0.32	3	I	I
Bruichladdich Laddie Ten	8.87	0.36	12	I	I
Big Peat (Douglas Laing)	8.85	0.22	13	I	I
Bruichladdich Port Charlotte Scottish Barley	8.85	0.26	12	I	I
Bowmore Tempest 10yo	8.84	0.22	16	I	I
Highland Park 12yo (reviews pre-mid 2014)	8.83	0.26	15	I	I
Bruichladdich Port Charlotte An Turas Mor	8.82	0.33	9	I	I
Longrow Peated (NAS)	8.81	0.26	16	I	I
Talisker Dark Storm	8.78	0.13	8	I	I
Benromach 10yo	8.74	0.3	17	I	I
Bruichladdich Port Charlotte 10yo Heavily Peated	8.74	0.23	4	I	I
Caol Ila 12yo	8.74	0.2	15	I	I
Springbank 10yo	8.69	0.28	16	I	I
Highland Park 12yo (all reviews)	8.68	0.23	19	I	I
Caol Ila 18yo	8.66	0.54	13	I	I
Talisker Storm	8.64	0.29	14	I	I
BenRiach 10yo Curiositas	8.59	0.32	15	I	I
Ardmore Traditional Cask	8.58	0.19	17	I	I
Bowmore 18yo	8.57	0.47	14	I	I
Fettercairn Fior	8.57	0.4	3	I	I
Highland Park 10yo	8.54	0.3	11	I	I
Oban Little Bay	8.51	0.33	8	I	I
Bowmore Small Batch	8.45	0.32	9	I	I
Oban 14yo	8.43	0.44	13	I	I
Wemyss Malts Peat Chimney	8.43	0.51	11	I	I
Bowmore 12yo	8.41	0.25	14	I	I
Highland Park 12yo (reviews post-mid 2014)	8.39	0.4	10	I	I
GlenDronach Peated	8.36	0.23	3	I	I
Highland Park Einar	8.33	0.47	5	I	I
BenRiach Birnie Moss	8.28	0.41	9	I	I
Glen Scotia 12yo	8.22	0.59	7	I	I
Jura Superstition	8.22	0.49	16	I	I
Ledaig 10yo (Tobermory)	8.22	0.37	15	I	I
Old Ballantruan Peated (Toumintoul)	8.2	0.49	7	I	I
Jura 10yo Origin	8.03	0.41	15	I	I
Brora 35yo	9.52	0.41	7	J	J
Brora 30yo	9.36	0.22	15	J	J
Lagavulin 16yo	9.3	0.26	23	J	J
Ardbeg Uigeadail	9.25	0.45	18	J	J
Lagavulin 12yo Cask Strength	9.23	0.14	16	J	J
